ID	LAST_SCAN_DATE	NAME	MONSTER_CLASS	POWER_LEVEL	TRAINER	MELEE_ATTACK	DEF_CRUSHING	DEF_SLASHING	DEF_PIERCING	DEF_FIRE	DEF_COLD	DEF_ELEC	DEF_WIND	DEF_HOLY	DEF_DARK	DEF_SOUL	DEF_VOID	DEBUFFS_AFFECTED
4079	2020-10-14T18:58:56.201Z	Vanessa Zeta Schneider	MECHANOID	1563	southrim	PIERCING	0	25	25	33	33	0	32	67	52			IMPERILED
4606	2020-10-10T16:37:11.456Z	Rhinosaurus	BEAST	1638	Drksrpnt	PIERCING	25	0	0	1	31	16	31	51	51			IMPERILED
4851	2020-10-09T21:40:13.118Z	Balrog	GIANT	1809	danixxx	CRUSHING	25	0	-25	34	34	6	6	55	55			IMPERILED
4905	2020-10-10T21:33:21.823Z	Crosis	DRAGONKIN	1698	danixxx	PIERCING	25	25	0	68	25	43	39	53	53			TURBULENT_AIR
5104	2020-10-09T21:37:08.755Z	Baloth	BEAST	1698	danixxx	SLASHING	25	0	0	4	33	18	33	53	53			IMPERILED
5273	2020-10-10T12:06:01.679Z	Homura Akemi	GIANT	1839	Sushilicious	CRUSHING	25	0	-25	70	70	42	42	56	56			
5370	2020-10-10T11:52:49.990Z	Albert Einstein	UNDEAD	1839	Sushilicious	SLASHING	25	0	25	28	70	70	70	28	70			
5397	2020-10-09T21:38:47.047Z	Minimum Joe	AVION	1895	Maximum_Joe	SLASHING	0	0	25	7	18	35	0	56	53			IMPERILED
7105	2020-10-13T18:27:02.318Z	Aw-338	UNDEAD	1603	MidNightPass	SLASHING	25	0	25	23	67	67	67	23	67			
8223	2020-10-11T03:22:57.742Z	Rhaegal	DRAGONKIN	1675	Snowflake	CRUSHING	25	25	0	15	0	40	15	62	62			IMPERILED
8224	2020-10-11T03:22:57.339Z	Viserion	DRAGONKIN	1675	Snowflake	CRUSHING	25	25	0	15	0	40	15	62	62			IMPERILED
8225	2020-10-11T03:22:58.222Z	Drogon	DRAGONKIN	1575	Snowflake	CRUSHING	25	25	0	15	2	40	15	0	62			TURBULENT_AIR, IMPERILED
8527	2020-10-09T22:23:30.109Z	Kirisame Marisa	ELEMENTAL	1830	J.L.	FIRE	-25	0	-25	40	40	15	40	75	75			TURBULENT_AIR, IMPERILED
8913	2020-10-09T22:07:34.161Z	Wretched Egg	GIANT	1839	Sushilicious	CRUSHING	25	0	-25	70	70	42	42	56	56			
8950	2020-10-09T22:05:59.043Z	Akroma	CELESTIAL	1839	danixxx	SLASHING	-25	-25	-25	70	70	70	70	70	28			
9377	2020-10-09T21:47:49.819Z	Tempura	DRAGONKIN	1839	Sushilicious	PIERCING	25	25	0	35	0	35	7	56	56			IMPERILED
9508	2020-10-10T17:37:57.008Z	Shungokusatsu	GIANT	1839	Sushilicious	CRUSHING	25	0	-25	35	35	0	7	56	56			TURBULENT_AIR, IMPERILED
9532	2020-10-09T21:39:16.768Z	Iason Mink	HUMANOID	2250	Honeycat	SLASHING	0	0	0	27	27	27	27	62	50			IMPERILED
10606	2020-10-09T21:41:52.904Z	Untouchable	AVION	1839	Sushilicious	SLASHING	0	0	25	7	21	10	0	56	56			TURBULENT_AIR, IMPERILED
10639	2020-10-10T12:01:43.675Z	Unbreakable	GIANT	1839	Sushilicious	CRUSHING	25	0	-25	70	70	42	42	56	56			
11521	2020-10-09T22:25:50.462Z	Osiris	BEAST	1839	Sushilicious	SLASHING	25	0	0	7	35	0	35	56	56			TURBULENT_AIR, IMPERILED
11522	2020-10-10T10:57:07.596Z	Aire Tam Storm	DAIMON	1839	Sushilicious	PIERCING	-25	-25	-25	35	35	35	35	28	70			IMPERILED
11523	2020-10-09T21:45:32.330Z	Naruko Anjou	HUMANOID	1839	Sushilicious	SLASHING	0	0	0	21	21	21	21	56	42			IMPERILED
11524	2020-10-09T21:39:24.560Z	Lemon Lime	SPRITE	1839	Sushilicious	PIERCING	-25	0	25	70	70	70	70	70	28			
11801	2020-10-12T16:35:41.393Z	Aom	ARTHROPOD	1615	MidNightPass	PIERCING	-25	25	0	32	4	8	33	53	53			TURBULENT_AIR, IMPERILED
11802	2020-10-12T16:06:56.479Z	Deroo	MECHANOID	1603	MidNightPass	PIERCING	0	25	25	67	67	23	67	67	52			
12039	2020-10-15T16:29:30.850Z	Kartail	DAIMON	1500	mfs5vnut32	SLASHING	-25	-25	-25	66	66	41	66	20	65			TURBULENT_AIR
12750	2020-10-12T20:17:27.655Z	Sakurai Kei	GIANT	1671	雨宮 優子	CRUSHING	25	0	-25	33	34	0	6	55	55			TURBULENT_AIR, IMPERILED
13113	2020-10-16T09:53:05.888Z	Schpeltor	MECHANOID	1590	kaien123456	PIERCING	0	25	25	32	32	0	32	67	32			IMPERILED
13246	2020-10-10T11:45:20.037Z	Gyarados	DRAGONKIN	2165	ddwiki	PIERCING	25	25	0	40	0	39	13	61	61			IMPERILED
14653	2020-10-09T21:52:51.685Z	Azgalor	UNDEAD	1983	ddwiki	SLASHING	25	0	25	32	72	72	72	32	72			
14654	2020-10-09T22:22:51.101Z	Balanar	UNDEAD	1796	ddwiki	SLASHING	25	0	25	0	34	34	34	27	69			TURBULENT_AIR, IMPERILED
15608	2020-10-09T21:37:27.108Z	Kyuubi	BEAST	2131	arialinnoc	PIERCING	25	0	0	15	40	27	40	62	62			IMPERILED
15628	2020-10-16T23:00:09.922Z	Lolifox	BEAST	1560	ddwiki	SLASHING	25	0	0	1	31	16	31	51	31			IMPERILED
17126	2020-10-14T13:28:32.904Z	Kuroko Shirai	HUMANOID	1698	danixxx	PIERCING	0	0	0	53	53	53	53	53	39			
17266	2020-10-10T14:20:40.875Z	Milia Il Velch Curettola Turan	HUMANOID	1802	Sushilicious	PIERCING	0	0	0	55	55	56	56	56	42			
17375	2020-10-10T21:37:27.832Z	Bird Of Paradise	AVION	1698	danixxx	PIERCING	0	0	25	4	18	33	0	53	53			IMPERILED
18610	2020-10-11T15:09:23.804Z	Ultimate Monsterbator Dora	GIANT	1615	sehokila	CRUSHING	25	0	-25	33	33	0	4	53	52			TURBULENT_AIR, IMPERILED
19215	2020-10-12T23:51:52.627Z	Evil Tamer Giant Lizard	UNDEAD	1585	sehokila	CRUSHING	25	0	25	0	32	32	32	23	66			IMPERILED
19221	2020-10-17T01:17:35.901Z	Tetrapod Master Dora	MECHANOID	1580	sehokila	PIERCING	0	25	25	31	31	0	32	67	32			IMPERILED
21528	2020-10-10T23:09:12.347Z	Hikikomori	BEAST	1802	Sushilicious	PIERCING	25	0	0	7	35	20	34	56	56			IMPERILED
21818	2020-10-15T14:19:26.440Z	Flying Backward	DRAGONKIN	1580	sehokila	CRUSHING	25	25	0	32	0	7	3	51	51			TURBULENT_AIR, IMPERILED
21872	2020-10-09T22:21:35.602Z	Trollicious	REPTILIAN	1802	Sushilicious	SLASHING	25	25	0	35	0	35	21	55	55			IMPERILED
21873	2020-10-10T16:35:48.109Z	Caterpillar Roll	ARTHROPOD	1802	Sushilicious	CRUSHING	-25	25	0	34	6	35	35	56	56			IMPERILED
21900	2020-10-09T22:21:25.384Z	Mr Denials	HUMANOID	1802	Sushilicious	CRUSHING	0	0	0	21	21	0	21	55	42			TURBULENT_AIR, IMPERILED
22887	2020-10-10T16:35:22.702Z	Eccentric Gut Eater	UNDEAD	1802	Sushilicious	CRUSHING	25	0	25	0	35	35	34	28	69			IMPERILED
22938	2020-10-09T22:22:51.889Z	The Great Wall Of China	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	34	34	7	7	56	56			IMPERILED
22939	2020-10-10T14:16:09.676Z	Hard As Hell	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	35	35	6	6	56	56			TURBULENT_AIR, IMPERILED
22940	2020-10-10T21:45:06.074Z	Jesus Long Lost Twin	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	35	35	7	7	55	55			IMPERILED
22941	2020-10-09T21:39:05.408Z	Diamond Dust	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	34	34	7	7	56	56			IMPERILED
22943	2020-10-10T13:39:51.835Z	Sexy Dancing Dragon	DRAGONKIN	1802	Sushilicious	CRUSHING	25	25	0	35	0	34	6	56	56			IMPERILED
23417	2020-10-10T13:48:32.047Z	Giantastic	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	35	35	0	7	55	55			TURBULENT_AIR, IMPERILED
23419	2020-10-10T18:00:30.239Z	Gigantism	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	34	34	7	7	56	56			IMPERILED
23420	2020-10-09T21:37:26.705Z	Collossus	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	35	35	6	6	56	56			IMPERILED
23422	2020-10-10T21:56:26.554Z	The Juggernaut	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	35	35	7	7	55	55			IMPERILED
23423	2020-10-09T22:21:14.006Z	Onslaughter	GIANT	1802	Sushilicious	CRUSHING	25	0	-25	34	34	7	7	56	56			IMPERILED
23858	2020-10-09T22:25:59.057Z	Zodiark	BEAST	1802	Sushilicious	PIERCING	25	0	0	7	35	20	34	56	56			IMPERILED
23859	2020-10-09T21:38:55.641Z	Hell Worm	ARTHROPOD	1802	Sushilicious	CRUSHING	-25	25	0	35	7	35	35	55	55			IMPERILED
23860	2020-10-10T22:12:04.294Z	Weiss	BEAST	1750	Sushilicious	SLASHING	25	0	0	6	34	20	34	55	53			TURBULENT_AIR, IMPERILED
23861	2020-10-09T21:50:18.451Z	Schwarz	ARTHROPOD	1750	Sushilicious	PIERCING	-25	25	0	69	41	44	69	53	55			TURBULENT_AIR
23862	2020-10-10T16:07:16.648Z	Zombie Gun	UNDEAD	1750	Sushilicious	CRUSHING	25	0	25	0	34	34	33	27	69			IMPERILED
23863	2020-10-10T13:57:22.544Z	Your Brain Is Mine	UNDEAD	1750	Sushilicious	SLASHING	25	0	25	0	34	33	34	27	69			IMPERILED
23864	2020-10-10T12:12:28.816Z	You Taste Like Shit	UNDEAD	1750	Sushilicious	CRUSHING	25	0	25	27	68	69	69	27	69			
24043	2020-10-10T14:34:18.769Z	Omnislash	ARTHROPOD	1750	Sushilicious	CRUSHING	-25	25	0	68	41	69	69	55	55			
24099	2020-10-10T21:42:26.009Z	Pika Thunder	REPTILIAN	1750	Sushilicious	SLASHING	25	25	0	34	0	34	20	55	53			IMPERILED
24105	2020-10-09T21:54:18.782Z	Bugtastic	ARTHROPOD	1750	Sushilicious	CRUSHING	-25	25	0	69	41	69	69	53	55			
24107	2020-10-10T11:42:27.921Z	Y2k	MECHANOID	1750	Sushilicious	PIERCING	0	25	25	34	34	0	33	69	55			IMPERILED
24108	2020-10-10T13:49:39.311Z	Amphibious Morphism	REPTILIAN	1750	Sushilicious	SLASHING	25	25	0	34	0	33	20	55	55			IMPERILED
24109	2020-10-11T15:27:22.431Z	The Cougar Next Door	BEAST	1750	Sushilicious	PIERCING	25	0	0	6	33	20	34	55	55			IMPERILED
24110	2020-10-10T11:48:41.375Z	Domo Arigato Mr Roboto	MECHANOID	1750	Sushilicious	SLASHING	0	25	25	33	34	0	34	69	55			IMPERILED
24111	2020-10-10T13:56:52.075Z	Dragonair	DRAGONKIN	1750	Sushilicious	CRUSHING	25	25	0	34	0	34	6	55	53			IMPERILED
24208	2020-10-11T03:30:40.406Z	Hogyoku	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	6	6	53	55			IMPERILED
24209	2020-10-11T00:37:12.620Z	Noble Phantasm	MECHANOID	1750	Sushilicious	PIERCING	0	25	25	34	34	0	33	69	55			IMPERILED
24210	2020-10-09T21:33:51.197Z	Iskander	HUMANOID	1750	Sushilicious	CRUSHING	0	0	0	20	20	18	20	55	41			IMPERILED
24211	2020-10-10T13:58:45.089Z	Gilles De Rais	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	69	68	41	41	55	55			
24212	2020-10-10T11:39:23.367Z	Diarmuid Ua Duibhne	HUMANOID	1750	Sushilicious	SLASHING	0	0	0	18	20	20	20	55	41			IMPERILED
24213	2020-10-10T13:48:55.992Z	Lancelot Of The Lake	BEAST	1750	Sushilicious	PIERCING	25	0	0	6	34	20	34	55	53			IMPERILED
24214	2020-10-10T11:40:49.188Z	Ansatsu	DRAGONKIN	1750	Sushilicious	CRUSHING	25	25	0	34	0	9	6	53	55			TURBULENT_AIR, IMPERILED
24215	2020-10-10T12:07:41.955Z	Lionheart	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	6	4	55	55			IMPERILED
24216	2020-10-09T22:27:04.805Z	Renzokuken	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	4	6	55	55			IMPERILED
24217	2020-10-10T13:48:17.223Z	Gate Of Babylon	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	33	6	6	55	55			IMPERILED
24218	2020-10-11T03:48:22.924Z	Unlimited Blade Works	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	33	34	0	6	55	55			TURBULENT_AIR, IMPERILED
24219	2020-10-10T21:58:51.601Z	Imperishable Night	ARTHROPOD	1750	Sushilicious	PIERCING	-25	25	0	69	41	44	69	55	53			TURBULENT_AIR
24220	2020-10-09T22:23:04.855Z	Perfect Cherry Blossom	REPTILIAN	1750	Sushilicious	SLASHING	25	25	0	34	0	34	20	53	55			IMPERILED
24221	2020-10-12T20:15:46.446Z	Aestus Domus Aurea	BEAST	1750	Sushilicious	PIERCING	25	0	0	41	69	55	68	55	55			
24222	2020-10-14T14:39:28.251Z	Reality Marble	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	4	6	55	55			IMPERILED
24223	2020-10-10T16:34:56.318Z	Excalibur Galatine	DRAGONKIN	1750	Sushilicious	CRUSHING	25	25	0	34	0	9	6	55	55			TURBULENT_AIR, IMPERILED
24224	2020-10-11T01:01:32.526Z	Invisible Air	UNDEAD	1750	Sushilicious	CRUSHING	25	0	25	25	69	69	69	27	69			
24225	2020-10-10T17:39:43.937Z	Phantasmagoria Of Flower View	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	69	69	16	41	55	53			TURBULENT_AIR
24226	2020-10-11T03:22:19.007Z	Undefined Fantastic Object	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	69	69	41	41	53	55			
24227	2020-10-13T18:31:28.323Z	Inescapable Abyss	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	6	4	55	55			IMPERILED
24229	2020-10-10T14:08:26.148Z	Irreplaceable Void	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	4	6	55	55			IMPERILED
24230	2020-10-14T16:54:19.142Z	Cant Touch This	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	33	6	6	55	55			IMPERILED
24969	2020-10-11T14:55:31.748Z	Potemayo	SPRITE	1608	damemo	PIERCING	-25	0	25	65	65	65	65	65	20			
25500	2020-10-11T03:52:04.954Z	Xt-03	MECHANOID	1698	danixxx	PIERCING	0	25	25	68	68	25	68	68	53			
25743	2020-10-10T13:50:44.316Z	Deadly Moth	ARTHROPOD	1712	danixxx	PIERCING	-25	25	0	68	39	68	68	53	53			
25927	2020-10-12T00:52:59.045Z	Highwind	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	33	34	0	6	55	55			TURBULENT_AIR, IMPERILED
25928	2020-10-11T16:14:26.257Z	Flubber	GIANT	1750	Sushilicious	CRUSHING	25	0	-25	34	34	6	6	55	53			IMPERILED
26664	2020-10-10T11:05:37.429Z	Brutallus	DAIMON	1698	danixxx	SLASHING	-25	-25	-25	33	33	33	33	25	68			IMPERILED
26791	2020-10-10T17:13:33.678Z	Firefly Queen	SPRITE	1698	danixxx	PIERCING	-25	0	25	33	33	8	33	68	25			TURBULENT_AIR, IMPERILED
27180	2020-10-10T21:34:48.209Z	You Are Already Dead	UNDEAD	1750	Sushilicious	CRUSHING	25	0	25	0	34	34	34	25	69			IMPERILED
27181	2020-10-09T22:15:06.915Z	Zeromus	DAIMON	1750	Sushilicious	SLASHING	-25	-25	-25	34	34	34	33	27	69			IMPERILED
27182	2020-10-10T11:24:28.397Z	Ultimae	CELESTIAL	1750	Sushilicious	CRUSHING	-25	-25	-25	34	34	33	34	69	27			IMPERILED
27183	2020-10-09T21:37:09.164Z	Famfrit	BEAST	1750	Sushilicious	PIERCING	25	0	0	6	33	0	34	55	55			TURBULENT_AIR, IMPERILED
27184	2020-10-10T12:00:58.337Z	Mateus	ELEMENTAL	1750	Sushilicious	COLD	-25	0	-25	33	34	9	34	69	69			TURBULENT_AIR, IMPERILED
27185	2020-10-10T10:54:13.201Z	Belias	ELEMENTAL	1750	Sushilicious	FIRE	-25	0	-25	34	34	34	34	69	68			IMPERILED
27186	2020-10-09T21:48:16.454Z	Addrameech	AVION	1750	Sushilicious	PIERCING	0	0	25	6	20	34	0	53	55			IMPERILED
27187	2020-10-09T22:21:48.990Z	Shemhazai	MECHANOID	1750	Sushilicious	SLASHING	0	25	25	34	34	0	33	69	55			IMPERILED
27188	2020-10-11T00:36:16.123Z	Hashmal	BEAST	1750	Sushilicious	SLASHING	25	0	0	6	34	18	34	55	55			IMPERILED
27189	2020-10-10T16:37:58.723Z	Neo Bahamut	DRAGONKIN	1750	Sushilicious	PIERCING	25	25	0	69	25	69	41	55	55			
27190	2020-10-10T11:35:36.042Z	Alexandria	HUMANOID	1750	Sushilicious	CRUSHING	0	0	0	53	55	55	55	55	41			TURBULENT_AIR
27192	2020-10-10T10:55:27.499Z	Diables	ARTHROPOD	1750	Sushilicious	CRUSHING	-25	25	0	34	6	34	34	55	53			IMPERILED
27193	2020-10-10T11:27:07.494Z	Caecilian	REPTILIAN	1750	Sushilicious	SLASHING	25	25	0	34	0	34	20	53	55			IMPERILED
27375	2020-10-11T01:37:06.860Z	Cicada	ARTHROPOD	1750	Sushilicious	PIERCING	-25	25	0	34	6	34	33	55	55			IMPERILED
27440	2020-10-09T21:39:59.196Z	Eila Ilmatar Juutilainen 501st	HUMANOID	2250	TheTornPrince	PIERCING	0	0	0	27	27	27	27	62	50			IMPERILED
27938	2020-10-13T06:40:18.191Z	Dv8	GIANT	1603	MidNightPass	CRUSHING	25	0	-25	67	67	38	38	52	52			
30535	2020-10-14T23:37:10.179Z	Invisible Dagger Bunny	SPRITE	1530	teenyman45	PIERCING	-25	0	25	30	30	30	30	65	20			IMPERILED
31067	2020-10-14T15:05:21.630Z	Qwerty1	UNDEAD	1590	believego	CRUSHING	25	0	25	0	32	32	32	23	67			IMPERILED
31265	2020-10-16T08:52:51.589Z	Mad Lizard	DRAGONKIN	1580	Mantra64	CRUSHING	25	25	0	67	23	67	38	51	51			
32680	2020-10-09T21:46:26.784Z	I Fear Fire	ELEMENTAL	1807	gc00018	WIND	-25	0	-25	35	35	35	35	70	69			IMPERILED
32937	2020-10-10T12:01:44.075Z	Yoko Nakajima	HUMANOID	1809	Mantra64	PIERCING	0	0	0	55	55	30	55	55	41			TURBULENT_AIR
33232	2020-10-11T01:07:10.171Z	I Fear Cold	ELEMENTAL	1601	gc00018	COLD	-25	0	-25	32	31	7	31	67	66			TURBULENT_AIR, IMPERILED
33448	2020-10-15T15:06:45.741Z	I Fear Mace	GIANT	1603	gc00018	CRUSHING	25	0	-25	32	32	0	3	52	52			TURBULENT_AIR, IMPERILED
33480	2020-10-09T22:05:27.606Z	Science Cat	DAIMON	2250	Koaen	SLASHING	-25	-25	-25	40	40	15	40	37	75			TURBULENT_AIR, IMPERILED
33810	2020-10-09T22:21:04.561Z	White Lotus	HUMANOID	1750	Sushilicious	SLASHING	0	0	0	20	20	0	20	55	41			TURBULENT_AIR, IMPERILED
34028	2020-10-10T13:37:43.597Z	Silver Cow	AVION	1750	Sushilicious	PIERCING	0	0	25	6	18	34	0	55	55			IMPERILED
34029	2020-10-09T22:19:20.674Z	Gerund	MECHANOID	1750	Sushilicious	SLASHING	0	25	25	33	34	0	34	69	55			TURBULENT_AIR, IMPERILED
34030	2020-10-10T14:15:09.223Z	Grammification	HUMANOID	1750	Sushilicious	CRUSHING	0	0	0	55	55	55	55	55	39			
34825	2020-10-09T22:23:05.265Z	Bloodwalker	REPTILIAN	1809	Mantra64	SLASHING	25	25	0	34	0	34	20	55	55			IMPERILED
34826	2020-10-13T12:47:11.024Z	Mystearica Aura Fende	ELEMENTAL	1530	Mantra64	ELEC	-25	0	-25	30	30	30	30	65	65			IMPERILED
35172	2020-10-10T21:51:38.715Z	Bonafide Boner	ELEMENTAL	1750	Sushilicious	WIND	-25	0	-25	69	69	69	69	68	69			TURBULENT_AIR
35173	2020-10-10T11:05:54.025Z	Sushilicious	HUMANOID	1839	Sushilicious	PIERCING	0	0	0	21	21	21	21	56	42			IMPERILED
35745	2020-10-10T18:01:27.220Z	Yume Tsubakuro	BEAST	1759	Ichy	SLASHING	25	0	0	4	32	16	33	52	58			IMPERILED
35907	2020-10-11T02:16:50.829Z	Kamen Rider Wizard	DRAGONKIN	1617	ymy	PIERCING	25	25	0	31	0	31	1	52	51			IMPERILED
36958	2020-10-11T03:48:39.759Z	Amano Pikamee	GIANT	1773	FullestDay	CRUSHING	25	0	-25	36	36	7	9	56	56			IMPERILED
38149	2020-10-11T00:39:02.972Z	The One And Only	MECHANOID	1638	MidNightPass	PIERCING	0	25	25	31	31	0	31	66	51			IMPERILED
38756	2020-10-09T22:07:07.178Z	Arcueid Brunestud	UNDEAD	2250	another planet	CRUSHING	25	0	25	2	40	40	40	37	75			IMPERILED
39660	2020-10-16T09:56:26.552Z	Titan Of Calamity Regalia	GIANT	1628	needaname	CRUSHING	25	0	-25	32	30	0	0	50	32			IMPERILED
39949	2020-10-10T11:30:30.515Z	Chitandael	CELESTIAL	1750	Sushilicious	SLASHING	-25	-25	-25	34	34	34	33	69	27			IMPERILED
40680	2020-10-10T12:10:43.742Z	Spaghetti Sauce	HUMANOID	1750	Sushilicious	PIERCING	0	0	0	20	20	18	20	55	41			IMPERILED
41022	2020-10-16T08:51:10.405Z	A10	DRAGONKIN	1620	ryuseii	CRUSHING	25	25	0	33	0	8	4	53	33			TURBULENT_AIR, IMPERILED
41074	2020-10-14T23:35:33.083Z	A11	MECHANOID	1595	ryuseii	SLASHING	0	25	25	32	33	0	32	67	52			IMPERILED
41218	2020-10-15T16:18:08.969Z	Spike Mob	GIANT	1620	Sky Arc	CRUSHING	25	0	-25	33	33	0	4	53	53			TURBULENT_AIR, IMPERILED
42617	2020-10-14T23:40:37.968Z	A12	DAIMON	1612	ryuseii	SLASHING	-25	-25	-25	31	31	31	31	21	66			IMPERILED
43397	2020-10-09T21:48:15.260Z	Cracker Jim	MECHANOID	2250	Koaen	PIERCING	0	25	25	40	40	0	40	75	62			TURBULENT_AIR, IMPERILED
43981	2020-10-10T17:38:54.335Z	Kininarimasu	HUMANOID	1750	Sushilicious	PIERCING	0	0	0	20	18	20	20	55	41			IMPERILED
44125	2020-10-10T11:54:59.556Z	Paradigm Shift	MECHANOID	1750	Sushilicious	PIERCING	0	25	25	33	34	0	34	69	55			IMPERILED
44194	2020-10-10T21:47:20.684Z	I Fear Elec	ELEMENTAL	1601	gc00018	FIRE	-25	0	-25	31	31	7	32	66	67			TURBULENT_AIR, IMPERILED
44993	2020-10-10T22:27:10.233Z	Sagisawa Fumika	HUMANOID	1590	ace_amuro	CRUSHING	0	0	0	17	17	17	17	52	38			IMPERILED
45072	2020-10-09T21:35:46.594Z	The 5th Element	SPRITE	1750	Sushilicious	PIERCING	-25	0	25	34	34	34	34	69	25			IMPERILED
45073	2020-10-10T16:37:11.062Z	7 Deadly Sins	BEAST	1750	Sushilicious	PIERCING	25	0	0	6	34	20	34	53	55			IMPERILED
45074	2020-10-09T21:39:58.805Z	Acedia	BEAST	1750	Sushilicious	SLASHING	25	0	0	6	34	0	33	55	55			TURBULENT_AIR, IMPERILED
45075	2020-10-10T11:29:13.049Z	Gluttony	REPTILIAN	1750	Sushilicious	PIERCING	25	25	0	34	0	33	20	55	55			IMPERILED
45402	2020-10-14T18:38:43.185Z	Rice Porridge	GIANT	1560	s976113	CRUSHING	25	0	-25	31	31	0	1	51	51			TURBULENT_AIR, IMPERILED
46052	2020-10-09T21:37:26.296Z	Uj Ibn Anaq	GIANT	2250	Koaen	CRUSHING	25	0	-25	40	40	15	15	62	62			IMPERILED
46701	2020-10-10T21:52:48.257Z	Magican Of The Sky	ELEMENTAL	1530	Sky Arc	WIND	-25	0	-25	30	30	30	30	65	65			IMPERILED
